Citation All,h-index All,i10-index All,First_Name,Last_Name
-,-,-,Armon,Galit
1087,17,20,Lefevre,Carmen E.
-,-,-,Dislich,Friederike X. R.
2448,22,35,Bluemke,Matthias
-,-,-,Paelecke,Marko
2079,21,27,Wrzus,Cornelia
-,-,-,Vollmann,Manja
-,-,-,de Boer,Benjamin J.
450,10,10,Cicero,David C.
14433,58,215,Sibley,Chris G.
3867,24,29,Jin,Lihua
2341,26,38,Vermeulen,Nicolas
-,-,-,Steinmayr,Ricarda
39491,84,279,Caprara,Gian Vittorio
13993,51,101,Realo,Anu
1597,18,24,Richardson,Michelle
-,-,-,Kray,Laura J.
14191,61,232,Brady,David
293,7,7,Smith,Sanne
4023,18,29,Alcacer,Juan
164,8,6,Brassiolo,Pablo
-,-,-,Kerr,WilliamÂ R.
3199,30,50,MALESKY,EDMUND
2090,18,28,SHIH,VICTOR
414,8,8,Mahdavi,Paasha
386,9,9,Aksoy,Deniz
606,13,19,Popa,Mircea
2729,16,20,Rovny,Jan
836,11,12,Fitzgerald,Jennifer
524,10,10,Steinberg,David A.
954,15,19,Goldsmith,Benjamin E.
-,-,-,Pelc,Krzysztof J.
19484,70,208,Baker,Andy
1436,18,22,Fey,Mark
607,10,12,Houle,Christian
-,-,-,Lohse,Keith R.
-,-,-,Tullis,Jonathan G.
28754,50,808,Zhou,Bin
-,-,-,Crossley,Matthew J.
-,-,-,McLachlan,Neil
17390,57,96,Tracy,Jessica L.
522,15,18,Taylor,Chloe
10798,46,56,Kross,Ethan
5300,27,36,Mason,Malia F.
1161,14,23,Slezak,Diego Fernandez
4876,35,71,Monaghan,Padraic
-,-,-,Kayaert,Greet
1281,16,19,Dimigen,Olaf
809,11,13,Chu,Mingyuan
-,-,-,Onyper,Serge V.
82641,109,212,Elliot,Andrew J.
-,-,-,Levens,Sara M.
-,-,-,Hoffman,Aaron B.
-,-,-,Mellers,Barbara A.
107694,143,329,Kornell,Nate
7657,36,58,Van Boven,Leaf
1153,14,16,Hirst,William
4653,29,45,Morewedge,Carey K.
520,13,13,Zhang,Jinguang
35,3,1,Kawamura,Yuta
3739,27,39,Reeve,Robert A.
-,-,-,THOMAS,KYLE J.
-,-,-,MENTING,BARBARA
-,-,-,Damian,Rodica Ioana
2545,26,42,Leone,Luigi
-,-,-,Geisler,Fay C. M.
-,-,-,Geisler,Fay C. M.
-,-,-,Giese,Joan L.
411,11,12,Lee,In Hyeock
-,-,-,Hyun,Martin Yongho
281,10,10,Manzur,Enrique
-,-,-,DeConinck,James B.
1976,9,9,Yagci,Mehmet I.
-,-,-,Lipsmeyer,Christine S.
1386,16,19,Holyoke,Thomas T.
115,5,3,Lin,Katrina Jia
-,-,-,Tang,Ningyu
450,7,7,Yao,Jingjing
10337,31,37,Humphrey,Stephen E.
-,-,-,Lount,Robert B.
6192,36,68,Avery,Derek R.
208,7,6,Bhargave,Rajesh
2311,17,22,Effron,Daniel A.
-,-,-,Rader,Christina A.
-,-,-,Shirako,Aiwa
4420,19,25,John,Leslie K.
1291,16,20,Offer,Shira
-,-,-,Cherlin,Andrew J.
4882,27,40,Desmond,Matthew
-,-,-,Polavieja,Javier G.
10439,20,23,Paik,Anthony
2200,24,46,Loughran,Thomas A.
1770,16,21,Ghaziani,Amin
7636,32,57,Davenport,Christian
2324,22,27,Briscoe,Forrest
1793,17,22,Hirsh,Elizabeth
339,6,5,Leung,Ming D.
17266,54,107,Jacobs,David
41,4,2,King,Ryan D.
-,-,-,JÃ¦ger,Mads Meier
7703,43,65,Tomaskovic-Devey,Donald
-,-,-,Raley,Sara
-,-,-,Pampel,Fred C.
139937,76,160,DiMaggio,Paul
7662,43,59,Crowder,Kyle
3841,29,36,Vaisey,Stephen
-,-,-,Gathmann,Christina
1457,14,14,Delfgaauw,Josse
-,-,-,Saks,Raven E.
-,-,-,Hartzell,JayÂ C.
23896,48,72,Stevens,Robert J.
9253,36,69,Bishop,Russell
-,-,-,Reis,Sally M.
30226,62,141,Falk,Armin
-,-,-,Bartling,BjÃ¶rn
76,5,3,BAGASHKA,TANYA
8168,37,74,HABER,STEPHEN
6238,26,37,DUNNING,THAD
-,-,-,Mosimann,Nadja
1078,12,12,Street,Alex
-,-,-,Simmons,Beth A.
-,-,-,Colgan,Jeff D.
709,12,16,Corstange,Daniel
-,-,-,McLaren,Lauren M.
5042,35,74,Obinger,Herbert
-,-,-,Tobin,Jennifer L.
2338,22,28,Pop-Eleches,Grigore
11249,45,60,Cederman,Lars-Erik
596,11,14,Snyder,Jack
-,-,-,Best,John R.
-,-,-,Potter,Joshua D.
-,-,-,Gerber,MarlÃ¨ne
-,-,-,DÃ¶ring,Holger
1513,20,32,Finseraas,Henning
775,14,16,Bodea,Cristina
-,-,-,KlÃ¼ver,Heike
1373,23,31,Black,Ryan C.
-,-,-,Kucik,Jeffrey
1678,18,20,Reuter,Ora John
109152,108,356,Marshall,John
4412,29,40,Weidmann,Nils B.
709,12,16,Corstange,Daniel
40,3,2,McLaren,Lauren
23600,51,114,Welzel,Christian
-,-,-,Warwick,Paul V.
4063,33,61,Dow,Jay K.
587,13,14,Sulitzeanu-Kenan,Raanan
-,-,-,Hagenaars,Muriel A.
1259,12,15,McDonnell,Mary-Hunter
61283,81,275,England,Paula
10887,60,122,Braun,Robert
5080,42,122,Lewis,Kevin
-,-,-,SmÃ¥ngs,Mattias
96,5,4,Schifeling,Todd
-,-,-,Kirk,David S.
13469,53,103,Reardon,Sean F.
5051,23,26,Ronfeldt,Matthew
834,8,8,Niehaus,Kate
-,-,-,Fryer,Roland G.
1438,22,41,Cavallo,Alberto
1282,13,17,Wucherpfennig,Julian
9588,30,42,Scheve,Kenneth
1493,18,22,Eggers,Andrew C.
2077,18,23,Fjelde,Hanne
2588,21,24,Crombez,Christophe
186,9,9,Marcoux,Christopher
406,12,14,Peterson,Timothy M.
803,16,20,Rickard,Stephanie J.
14228,61,145,Evans,Geoffrey
-,-,-,Andrews,Josephine T.
2154,14,16,HUREAU,DAVID M.
34732,91,327,WALLACE,DANIELLE
488,9,9,RAMEY,DAVID M.
-,-,-,AUGUSTYN,MEGAN BEARS
611,13,14,BUTTON,DEEANNA M.
3007,28,40,APEL,ROBERT
488,9,9,RAMEY,DAVID M.
-,-,-,NIVETTE,AMY E.
2110,20,31,BERG,MARK T.
1853,26,51,PICKETT,JUSTIN T.
278753,229,1808,Yang,Yang
-,-,-,LeBoeuf,Robyn A.
-,-,-,Deleersnyder,Barbara
483,10,11,Pluut,Helen
-,-,-,ten Brummelhuis,Lieke L.
4990,30,38,Balliet,Daniel
83,4,4,Wilmers,Nathan
2576,20,29,Baldassarri,Delia
-,-,-,Trapido,Denis
9027,30,35,Schofer,Evan
-,-,-,Edelman,Lauren B.
180,6,6,Flaherty,Jeremy
17137,38,72,Wimmer,Andreas
-,-,-,Huber,John D.
-,-,-,Schneider,Christina J.
1647,21,29,Lindvall,Johannes
178,7,6,Conroy,Dominic
-,-,-,Baucom,Katherine J. W.
-,-,-,Jakubowski,Karen P.
-,-,-,Dunaev,Jamie L.
3508,21,28,Shankar,Aparna
-,-,-,Koschwanez,Heidi
265,8,8,Jose,Rupa
3923,33,54,Puterman,Eli
-,-,-,Hendrickson,Kelsie L.
889,18,21,Heisz,Jennifer J.
-,-,-,Brunet,Jennifer
-,-,-,DuBenske,Lori L.
19785,77,237,Rhodes,Ryan E.
1,1,0,Gerend,Mary A.
-,-,-,Berry,Tanya R.
-,-,-,Midei,Aimee J.
838,16,24,Smith,Amy Erica
1926,17,19,Robertson,Graeme
5232,31,47,Banducci,Susan
1181,20,31,Wenzelburger,Georg
1219,18,21,Newman,Benjamin J.
3995,21,24,Canes-Wrone,Brandice
1739,20,31,Singer,Matthew M.
5287,40,86,Messer,Anne
738,11,12,Benson,Michelle
-,-,-,Bertelli,Anthony M.
-,-,-,Bertelli,Anthony M.
1654,13,17,Koger,Gregory
735,10,10,Marlow,Shannon L.
-,-,-,Usmani,Adaner
1,1,0,Lynch,Mona
2793,29,47,Viljoen,Jodi L.
5502,32,47,PAPACHRISTOS,ANDREW V.
4499,28,37,SCHAEFER,DAVID R.
1613,23,30,YOUNG,JACOB T. N.
21012,57,97,Lee,Kibeom
-,-,-,Leeson,Peter T.
-,-,-,KUHL,DANIELLE C.
4293,37,110,Wilson,Robert E.
941,5,5,Venkataramani,Vijaya
891,13,14,Kennedy,Jessica A.
3972,29,41,Windschitl,Paul D.
7456,48,117,Baer,Markus
3302,23,28,Goncalo,Jack A.
6006,24,25,Sonenshein,Scott
1663,16,16,Brooks,Alison Wood
-,-,-,Overbeck,Jennifer R.
654,7,7,Imai,Lynn
-,-,-,Ã‡akmaklÄ±,AnÄ±l DivarcÄ±
3418,23,34,Elliott,James R.
2576,20,29,Baldassarri,Delia
3448,20,22,Andrews,Kenneth T.
778,12,14,Steil,Justin Peter
1249,17,21,Cole,Wade M.
1353,18,24,Choi,Susanne Y. P.
492,9,8,Kollmeyer,Christopher
1522,12,14,Galasso,Alberto
6275,30,40,Muralidharan,Karthik